premise	hypothesis	label
A woman with heavy makeup is standing next to a red light sign.	a girl with heavy makeup is standing.	2
An older man is sitting in a lawn chair with a newspaper in his hand and selling paint cans, lawn chairs, and other items.	an older woman was selling newspapers.	2
An older man is sitting in a lawn chair with a newspaper in his hand and selling paint cans, lawn chairs, and other items.	the old man was selling to pay for college.	1
An older man is sitting in a lawn chair with a newspaper in his hand and selling paint cans, lawn chairs, and other items.	an old man has a newspaper.	0
A man standing on a boat is pulling rope out of the ocean.	a man was pulling anchor.	1
A man standing on a boat is pulling rope out of the ocean.	a man is standing.	0
A man standing on a boat is pulling rope out of the ocean.	the man is drinking a beer in a clinch.	2
Four musicians play their instruments on the street while a young man on a bike stands by to listen.	four musicians affect for a man	0
Four musicians play their instruments on the street while a young man on a bike stands by to listen.	the street performers are hoping to save money.	1
Four musicians play their instruments on the street while a young man on a bike stands by to listen.	there are multiple people here.	0
Four musicians play their instruments on the street while a young man on a bike stands by to listen.	a kid in a car goes through the drive thru	2
Four musicians play their instruments on the street while a young man on a bike stands by to listen.	. group of people play music outside.	0
Four musicians play their instruments on the street while a young man on a bike stands by to listen.	classical musicians are raising money by playing on the runway.	1
Four musicians play their instruments on the street while a young man on a bike stands by to listen.	there is no one listening like by musicians.	2
Four musicians play their instruments on the street while a young man on a bike stands by to listen.	the fbi man is riding his bike down the street.	2
Four musicians play their instruments on the street while a young man on a bike stands by to listen.	musicians were playing at an indoor concert.	2
Four musicians play their instruments on the street while a young man on a bike stands by to listen.	a big band of pullman groups on a ship plays to a crowd of women.	2
Four musicians play their instruments on the street while a young man on a bike stands by to listen.	four volunteers play freebird	1
Four musicians play their instruments on the street while a young man on a bike stands by to listen.	four musicians write music while a talen scout stops and listens.	1
Four musicians play their instruments on the street while a young man on a bike stands by to listen.	a man with a bike watched them playing.	0
Four musicians play their instruments on the street while a young man on a bike stands by to listen.	a man listens to four musicians playing on the street.	0
Four musicians play their instruments on the street while a young man on a bike stands by to listen.	they four had just met.	1
Four musicians playing reed instruments with one playing a clarinet and three playing saxophones, being watched by a young child on a bicycle.	the musicians sleep	2
Four musicians playing reed instruments with one playing a clarinet and three playing saxophones, being watched by a young child on a bicycle.	four musicians are string instruments	0
Four musicians playing reed instruments with one playing a clarinet and three playing saxophones, being watched by a young child on a bicycle.	they are outside	1
Some young adults are playing saxophones and clarinets outdoors.	a young adult group played outside.	1
Some young adults are playing saxophones and clarinets outdoors.	some young people were playing old instruments outside.	0
Some young adults are playing saxophones and clarinets outdoors.	the drummer hammered away on his kit in the garage.	2
A street band consisting of three saxophonists and a clarinetist playing on the street.	the street band is playing outside.	0
A street band consisting of three saxophonists and a clarinetist playing on the street.	the band performs playing jazz music.	1
A street band consisting of three saxophonists and a clarinetist playing on the street.	the live band is inside a cafe for the show.	2
Three taxis have been pulled over.	three taxis sat on the street.	0
Three taxis have been pulled over.	the three guys were speeding.	1
Three taxis have been pulled over.	three motorcycles were coming over.	2
Line of taxis waiting for passengers.	trucks are driving down a highway.	2
Line of taxis waiting for passengers.	similarity are waiting.	0
Line of taxis waiting for passengers.	taxis page for passengers outside the airport.	1
Many cabs lining up at a station close to an elevator.	two buses are parked at a station.	2
Many cabs lining up at a station close to an elevator.	taxis line up outside a station.	0
Many cabs lining up at a station close to an elevator.	cabs wait to pick up customers at a busy intersection.	1
Three parked taxis with two parked police cars behind them.	the police cars are in front of the taxis.	0
Three parked taxis with two parked police cars behind them.	the taxis are then towed away.	2
Three parked taxis with two parked police cars behind them.	the taxis are yellow.	1
Two soccer players battle for the ball during an intense match.	two soccer players battle for the ball during a tie game.	1
Two soccer players battle for the ball during an intense match.	two players battle for a death in an intense match.	2
Two soccer players battle for the ball during an intense match.	there were players on the soccer field.	0
Two soccer opponents run and fight for the soocerball on a grassy field.	two teams are playing soccer on a 7th field.	0
Two soccer opponents run and fight for the soocerball on a grassy field.	several hockey opponents run and fight for the puck and guard.	2
Two soccer opponents run and fight for the soocerball on a grassy field.	two teams were playing sochi.	1
Two young men on opposing soccer teams are competing to get the ball on a soccer field.	two young men are carroters.	2
Two young men on opposing soccer teams are competing to get the ball on a soccer field.	two young men are playing soccer.	0
